voucher_id,page,date,date_original,party,vch_type,vch_no,primary_ledger,credit_amount,agst_refs,narration
104,17,45909,2025-09-09 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN 104","Sales",122400,"Agst Ref 14 1,22,400.00 Cr","Being stock return at Kaushambi godown."
108,17,45913,2025-09-13 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN 108","Sales",2800,"Agst Ref 106 2,800.00 Cr","Being freight of mustard supply is credited."
112,18,45915,2025-09-15 00:00:00.000,"13300 Bajrang Traders","Credit Note","VAS 25-26/CN 112","Sales",63330,"Agst Ref 75 20,249.00 Cr | On Account 43,081.00 Cr","Being stock return at etah godown."
125,19,45931,2025-10-01 00:00:00.000,"Harmain India Foods","Credit Note","VAS 25-26/CN124","Sales",369000,"New Ref VAS 25-26/CN124 3,69,000.00 Cr","Being stock return at Kaushambi godown."
126,20,45931,2025-10-01 00:00:00.000,"Harmain India Foods","Credit Note","VAS 25-26/CN126","Sales",27120,"New Ref VAS 25-26/CN126 27,120.00 Cr","Being rate difference of namo(339 kg *80) net rate 230 is credited."
127,20,45931,2025-10-01 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN127","Sales",277200,"New Ref VAS 25-26/CN127 2,77,200.00 Cr","Being stock return and supply to harmain india."
128,20,45931,2025-10-01 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN128","Sales",169200,"New Ref VAS 25-26/CN128 1,69,200.00 Cr","Being stock return and supply to etah via prashant g."
129,20,45931,2025-10-01 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN129","Sales",24000,"New Ref VAS 25-26/CN129 24,000.00 Cr","Being stock return and supply to rahis ali"
130,20,45931,2025-10-01 00:00:00.000,"Rahish Ali","Credit Note","VAS 25-26/CN130","Sales",41640,"New Ref VAS 25-26/CN130 41,640.00 Cr","Being stock return at Kaushambi godown."
131,20,45931,2025-10-01 00:00:00.000,"Rahish Ali","Credit Note","VAS 25-26/CN131","Sales",5460,"New Ref VAS 25-26/CN131 5,460.00 Cr","Being rate difference amount credited ( net rate=75)"
132,20,45931,2025-10-01 00:00:00.000,"Harmain India Foods","Credit Note","VAS 25-26/CN132","Sales",527820,"New Ref VAS 25-26/CN132 5,27,820.00 Cr","Being stock return at Kaushambi godown."
133,21,45931,2025-10-01 00:00:00.000,"54100 Singh Khad Beej Bhandar","Credit Note","VAS 25-26/CN133","Sales",66960,"New Ref VAS 25-26/CN133 66,960.00 Cr","Being credit note against non gemination of paddy (930 kg)"
134,21,45931,2025-10-01 00:00:00.000,"54100 Singh Khad Beej Bhandar","Credit Note","VAS 25-26/CN134","Sales",424290,"New Ref VAS 25-26/CN134 4,24,290.00 Cr","Being stock return at kaushambi godown.."
